1,0
2,-1.3
3,-2.7
4,0
5,-2.7
6,-2.7
7,-2.7
8,-1.3
9,-2.7
10,-2.7
11,-1.3
12,-2.7
13,-2.7
14,-5.4
15,-2.7
16,-5.4
17,0
18,-2.7
19,-2.7
20,0
21,-13.3
22,-2.7
23,-22.8
24,-40.2
25,-21.5
26,-42.9
27,-21.5
28,-5.4
29,-59
30,-71
31,-37.5
32,-99.1
33,-112.5
34,-123.1
35,-85.6
36,-127.2
37,-123.1
38,-117.9
39,-134
40,-101.9
41,-108.4
42,-123.1
43,-123.1
44,-128.5
45,-112.5
46,-95.1
47,-53.5
48,-64.4
49,-72.3
50,-26.8
51,-5.4
52,-107.1
53,-65.6
54,-16
55,-45.6
56,4
57,12
58,-21.5
59,46.9
60,-17.4
61,36.2
62,75
63,8.1
64,54.9
65,46.9
66,16
67,45.6
68,1.3
69,75
70,-16
71,69.6
72,34.8
73,-37.5
74,46.9
75,5.4
76,-1.3
77,-21.5
78,-13.3
79,30.8
80,29.4
81,0
82,14.7
83,-1.3
84,0
85,10.7
86,10.7
87,-26.8
88,-13.3
89,0
90,10.7
91,-14.7
92,-2.7
93,-2.7
94,10.7
