-0.5045,-1.1312,-1.6206,-1.868
-0.24477,0.96759,-1.2765,-1.3563
-2.2846,-1.4379,-3.1582,-1.3593
-1.0645,-0.80818,-1.0724,-0.51366
-1.237,-0.34658,-3.4496,-2.3537
-0.53397,-2.2285,-1.4885,-1.9352
-0.99639,-3.4091,-1.7395,-0.33304
-1.2588,-1.5099,-3.439,0.0075066
-0.76959,-2.8478,-3.4859,-3.5389
-0.42351,-1.6425,-1.9315,-0.82821
-4.2052,-1.5413,-1.3215,-0.84753
-0.77076,-7.8049,-2.0473,-1.4342
-2.1379,-0.72713,-2.6291,-1.3219
-1.4372,-2.6396,-6.4914,-1.569
-1.0932,-2.8681,-1.6926,-0.89481
-1.8049,-1.448,-2.2229,-0.94068
-0.86755,-1.0045,-1.0298,-4.673
-1.6229,-3.0173,-1.6916,-2.6855
-1.195,-0.68648,-0.84934,-0.69519
-0.96033,-1.6783,-1.1916,-1.1104
-3.5834,-6.1674,-5.2202,-7.8501
-4.433,-7.0126,-5.4662,-7.1838
-6.1856,-7.1436,-6.0778,-5.5334
-5.9159,-7.5805,-5.5166,-5.0863
-4.841,-1.9317,-6.9996,-5.54
-4.2642,-7.6661,-5.4298,-7.4952
-5.2378,-6.3507,-4.657,-5.8025
-5.0212,-8.6178,-7.0212,-4.2477
-6.8577,-8.3467,-6.6059,-5.6776
-4.4958,-6.5811,-8.8886,-5.8342
0.20451,0.65595,0.67436,0.51773
